"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
""	7.54565	7.55288	7.62105	7.698385	7.84229	7.285465	7.38248	7.31956	7.3167
"A1BG"	4.37139833333333	4.44014833333333	4.419955	4.29587166666667	4.18001833333333	4.42376166666667	3.468805	3.49327333333333	3.47162166666667
"A1CF"	7.30529	7.20797	7.28409	7.20919	7.1657	7.1745	7.00357	6.87365	7.07132
"A2M"	5.0082	4.91033	4.98574	5.08184	5.2979	5.01124	4.91033	5.03078	5.04849
"A2ML1"	4.3471	3.90404	4.02295	4.27131	3.75879	4.61119	4.18314	4.18314	4.18314
"A4GALT"	10.0977616666667	10.0819216666667	10.069185	10.0895283333333	10.1604383333333	10.085285	10.5365183333333	10.4871066666667	10.4912466666667
"A4GNT"	2.955095	2.879045	2.930995	3.210755	3.37665	3.26261	3.227555	3.17036	3.237085
"AAA1"	6.33849	6.36541	6.61075	6.44533	6.087755	6.14172	6.039245	6.067785	5.999655
"AAAS"	6.62814	6.62727	6.65931	5.77726	5.61372	5.55879	7.49495	7.38705	7.55136
"AACS"	6.72913	7.072	7.10366	5.38092	5.41648333333333	5.28686333333333	4.60574333333333	4.57625666666667	4.39765
"AADAC"	6.587754	6.712808	6.609216	6.836256	6.511934	6.826496	6.931258	6.946448	6.93424
"AADACL2"	4.1111875	4.109795	4.1586475	4.25507	4.6874775	4.412395	4.2705	4.26707	4.4435275
"AADAT"	3.69183333333333	3.92775666666667	3.79328	4.64638	4.49052666666667	4.51456333333333	4.06660333333333	3.88221	4.08869666666667
"AAK1"	7.895085	7.8530175	7.760135	7.2150225	7.3482425	7.2231225	6.9115225	6.77725	6.95347
"AAMP"	10.7913	10.8948	10.8458	9.85076	9.85855	9.94753	9.94832	9.84417	9.98188
"AANAT"	5.88984	5.85976	5.73499	5.91581	5.84275	5.59314	3.97868	4.75894	4.07301
"AARS"	5.83888	5.77703333333333	5.93196	5.55671666666667	5.85313	5.57069333333333	5.11225	5.23158666666667	5.20886
"AARS2"	5.5591375	5.6141375	5.6556375	5.700115	5.7727625	5.75329	6.698265	6.479005	6.4193425
"AARSD1"	6.640825	6.627755	6.62238	6.0721675	5.9390775	6.2855525	8.169605	8.0982875	8.292135
"AASDH"	2.66845333333333	2.72420666666667	2.69707	2.76997333333333	3.07362666666667	2.77563333333333	2.85721666666667	2.75033333333333	2.85719333333333
"AASDHPPT"	5.21295333333333	5.13706666666667	5.102615	5.552975	5.70364166666667	5.69768333333333	6.68408833333333	6.825345	6.69834
"AASS"	4.32525	4.12238333333333	4.17063	4.62195333333333	4.90946	4.41287	4.33104333333333	4.42095	4.41083333333333
"AATF"	8.26288	8.31442	8.30847	7.02762	7.47501	7.34956	8.15489	8.15489	8.2429
"AATK"	4.49943	4.75661	4.54169	4.83521	5.63496	5.05026	4.42007	4.06841	4.33897
"ABAT"	4.81186714285714	4.75265571428571	4.69576857142857	5.46259571428571	5.50399285714286	5.59128428571429	5.21536714285714	5.10361285714286	5.21962714285714
"ABCA1"	6.23028666666667	6.29248666666667	6.28924666666667	7.06477	6.71084666666667	6.26893666666667	6.19567	6.20117666666667	6.1894
"ABCA12"	6.40093333333333	6.37137833333333	6.49125333333333	6.569335	6.714625	6.606675	6.95419166666667	6.78886666666667	6.84274833333333
"ABCA13"	4.304315	4.15763	4.238065	4.13126	4.277295	4.71725	4.513055	4.40762	4.56341
"ABCA2"	7.608465	7.682085	7.660895	6.801155	6.868585	6.914375	6.38599	6.3352	6.23799
"ABCA3"	5.95346666666667	5.9502	6.02023666666667	6.88953	6.65472666666667	6.80398666666667	6.04327666666667	6.15430333333333	6.05955333333333
"ABCA4"	6.178055	6.02355	6.005315	6.284755	6.175995	6.35287	5.72865	5.95822	5.830855
"ABCA5"	7.00608	7.10794	7.03215	7.63697	7.65476	7.64585	9.1448	9.08232	9.18552
"ABCA6"	13.8575	13.8694	13.8256	13.6696	13.645	13.6746	13.1639	13.1551	13.1756
"ABCA7"	6.658095	6.652835	6.73113	7.20533	7.068945	6.882405	7.606855	7.59082	7.437345
"ABCA8"	8.00077	7.9838525	8.0564625	7.5244025	7.27606	7.4618875	8.09776	7.9962425	7.9747125
"ABCA9"	2.83181	2.85115	2.96993	3.00345	3.3745	3.23977	2.90191	3.05275	3.51214
"ABCB1"	4.45364	4.55779	4.21756	4.93611	5.18207	4.65474	4.55779	4.4759	4.55779
"ABCB10"	6.749906	6.812782	6.739964	6.73726	6.469798	6.769224	8.656966	8.679014	8.704002
