"CELL_TYPE"	"Pt101_Pre"	"Pt103_Pre"	"Pt106_Pre"	"Pt10_Pre"	"Pt11_Pre"	"Pt17_Pre"	"Pt18_Pre"	"Pt1_Pre"	"Pt23_Pre"	"Pt24_Pre"	"Pt26_Pre"	"Pt27_Pre"	"Pt28_Pre"	"Pt29_Pre"	"Pt2_Pre"	"Pt30_Pre"	"Pt31_Pre"	"Pt34_Pre"	"Pt36_Pre"	"Pt37_Pre"	"Pt37_Pre.2"	"Pt38_Pre"	"Pt39_Pre"	"Pt3_Pre"	"Pt3_Pre.2"	"Pt44_Pre"	"Pt46_Pre"	"Pt47_Pre"	"Pt48_Pre"	"Pt49_Pre"	"Pt4_Pre"	"Pt52_Pre"	"Pt59_Pre"	"Pt5_Pre"	"Pt5_Pre.2"	"Pt62_Pre"	"Pt65_Pre"	"Pt66_Pre"	"Pt67_Pre"	"Pt72_Pre"	"Pt76_Pre"	"Pt77_Pre"	"Pt78_Pre"	"Pt78_Pre.2"	"Pt79_Pre"	"Pt82_Pre"	"Pt84_Pre"	"Pt85_Pre"	"Pt89_Pre"	"Pt8_Pre"	"Pt90_Pre"	"Pt92_Pre"	"Pt92_Pre.2"	"Pt94_Pre"	"Pt98_Pre"	"Pt9_Pre"
"Activated_B_cell"	0.4292723479	-0.006647261	-0.3006423057	-0.2527852903	-0.2353130697	-0.2875986748	0.2606509306	-0.1965480708	-0.1760434508	-0.0369448874	-0.2584258332	-0.3408372697	-0.2940437251	-0.2556063358	-0.2406620612	-0.4367535867	-0.1599415282	-0.130180874	-0.3394946311	-0.2638880108	-0.331698817	-0.401241014	-0.2903486757	-0.3762980582	-0.4183117741	-0.3280527115	-0.1864335792	-0.2851014108	-0.2055969299	-0.0401982289	-0.2789671242	-0.2809867487	-0.1976687903	-0.2361445222	-0.1915583114	-0.4376826571	-0.2181619986	-0.3854145429	-0.1838496072	-0.3134859605	-0.4733139655	0.240904025	-0.2934435529	-0.259373262	-0.3168726115	-0.2229798449	-0.2927478282	-0.3599509697	-0.3647604369	-0.2537138257	-0.2170694112	-0.2422044034	-0.1880022391	-0.1737062633	-0.3130414962	-0.438052291
"Activated_CD4_T_cell"	0.2430525962	-0.0169827006	-0.0166705516	-0.027169948	0.0745974582	-0.1362794946	0.1777697422	0.1411497	0.0154703599	0.1048734039	-0.1131884942	0.0689321591	0.0102829421	0.0550017031	0.0748675581	0.0228744952	-0.0706949377	0.1085399924	-0.1826941173	-0.0993452334	-0.0166794744	-0.0664088224	0.0129029919	0.0967538083	0.0975223613	0.1340378165	-0.0419564013	-0.0648073736	-0.108760345	0.0369011335	-0.0091729889	-0.0933990725	0.1048931984	0.0967048807	0.0920947731	-0.0780672306	0.0477690133	-0.126310345	-0.1280701308	0.0082115807	-0.0218114683	0.1792552709	0.0140377921	-0.0399029138	-0.0376632745	-0.0193622995	-0.1583257247	-0.1561202384	-0.0589505742	0.0075532659	0.1706444902	0.0563517343	0.1073728599	0.0323310974	-0.1306572688	-0.104605718
"Activated_CD8_T_cell"	0.359560626	0.2856442202	0.0507626242	-0.0530332249	0.0974990788	-0.0724031501	0.2476614072	0.2035795187	0.0919941173	0.1642040138	-0.1093462194	0.0066361976	0.0438376859	0.0028149662	0.1536681639	-0.0506551419	0.0621542038	0.2486568656	-0.0437333487	-0.0677911701	0.0397087454	-0.0902033051	-0.0458627578	-0.0791512233	-0.0782689168	0.1450850592	0.2094755723	-0.0630168967	0.057582674	0.2409379104	0.0784921745	-0.0086801834	0.183630656	0.1683149048	0.173530354	-0.0015340327	0.0827367918	-0.0441676983	0.0882161707	-0.0761497444	-0.0345971298	0.2763921717	-0.0460851663	-0.08041615	-0.0107518852	0.0611252783	-0.0556443546	-0.1132188659	-0.0358434179	0.0520592657	0.1936800468	0.2209083685	0.2606652614	0.0924956814	-0.0172423322	-0.1131873738
"Activated_dendritic_cell"	0.341504305	0.340321406	0.2543065367	0.1998989589	0.3031496965	0.1965436112	0.3092074068	0.3141283971	0.3170729942	0.3924488992	0.1907240424	0.2771620057	0.2631952359	0.2369524287	0.3214076067	0.1721406019	0.1988816925	0.3454289791	0.2996338205	0.278651255	0.2751314954	0.2644101472	0.1057977859	0.2331194455	0.2526027972	0.2504569528	0.3491343353	0.2737122716	0.2424265294	0.3016238905	0.2698037851	0.1927474543	0.2968574831	0.3393472387	0.3965328157	0.2065438092	0.2682261512	0.1641395337	0.2355192492	0.1802022381	0.2484698229	0.288336636	0.1045725673	0.1331160892	0.2029297387	0.2674594999	0.1909272738	0.1667974876	0.2751262319	0.2749194249	0.3641086264	0.2379635435	0.2594710278	0.2874576303	0.2356380879	0.249227505
"CD56bright_natural_killer_cell"	0.1538087648	0.2160500439	0.1265314453	0.1341367121	0.1920400454	0.1468568798	0.1879962491	0.1805898082	0.1371951492	0.1698966809	0.1469763029	0.2135465241	0.1423096482	0.2064340102	0.1831249373	0.10319489	0.1431355661	0.2311102854	0.14315175	0.2265070871	0.2455245021	0.1456106361	0.1511671614	0.1121792215	0.1155029419	0.1591324835	0.1761302567	0.1524550951	0.1667201631	0.1850505451	0.1886737587	0.1846132905	0.1840705928	0.2027501959	0.1943714665	0.1627476045	0.153830741	0.1446256822	0.1566173258	0.149890766	0.1574880975	0.1462194854	0.1592847819	0.1685089418	0.1262826057	0.1511287707	0.1205938695	0.1467078723	0.1820822971	0.1650365772	0.1901412524	0.1619022323	0.1627763778	0.1845806516	0.1303108373	0.1356520454
"CD56dim_natural_killer_cell"	0.1331687255	0.1897823262	0.2219424295	0.1114547992	0.1703025659	0.1278734998	0.1323866746	0.1672855435	0.2110159343	0.1809112555	0.1387511335	0.1896677208	0.1078499553	0.117495348	0.2048115588	0.1538590389	0.1111644439	0.1882745208	0.1415965923	0.184461623	0.1515213081	0.2289494023	0.0931137576	0.20523761	0.2018339441	0.0889344277	0.1890574467	0.2322451939	0.1740981705	0.1593857798	0.1903268002	0.1762402419	0.1817732696	0.1803665719	0.1760982127	0.1530145504	0.2141093741	0.0966930259	0.2338634728	0.1528568645	0.1918198122	0.2074815904	0.0945718756	0.1215929462	0.1828983276	0.1309375645	0.1196619832	0.133641112	0.2098422212	0.1974834761	0.1649309725	0.1381658031	0.133100379	0.2378524958	0.1135443605	0.128981597
"Central_memory_CD4_T_cell"	0.3428230335	0.3269840584	0.2790356549	0.173153352	0.3331859107	0.1957802977	0.2751705112	0.2564987866	0.3046276495	0.3189199262	0.215489586	0.2320065381	0.214802664	0.2426107188	0.2904669424	0.1530272838	0.2298142623	0.306373693	0.3224973241	0.2916836142	0.2646762361	0.2566127688	0.1154748068	0.2486766121	0.2563062876	0.2668976519	0.3297628223	0.2926475178	0.2563499732	0.3101769463	0.2766822387	0.2323654663	0.2921237577	0.3149261025	0.3168286503	0.1895321359	0.2603777961	0.2098887895	0.276470728	0.2495623348	0.2782948792	0.3250342463	0.1899959128	0.2077806129	0.1989618428	0.230434336	0.2147457867	0.2257268408	0.3354381249	0.2607248623	0.2759688379	0.2927121313	0.3024447141	0.2556351907	0.1990971281	0.2566790222
"Central_memory_CD8_T_cell"	0.1835501789	0.2549792865	0.2362495749	0.1368066138	0.2877399908	0.1890650388	0.2141505306	0.2561344793	0.312564836	0.3077368473	0.1598807174	0.2316023933	0.1485712371	0.235237227	0.2899785406	0.1436720899	0.2111437183	0.2754786104	0.3255278394	0.1770462204	0.1833249193	0.1706965771	0.1272974191	0.2461677318	0.2832637459	0.2458452765	0.3237089234	0.2397488731	0.2994977821	0.2899598284	0.2223915325	0.2495099313	0.2902737595	0.2370351044	0.2990083736	0.1740710918	0.2227305518	0.1855757117	0.2233010038	0.1860458948	0.1669739915	0.2232409341	0.1229524309	0.1380271572	0.2150086334	0.2089792514	0.1746048716	0.1683734467	0.2583625602	0.2709163722	0.3067673209	0.278376551	0.2761424918	0.206612207	0.1653680565	0.2288954149
"Effector_memeory_CD4_T_cell"	0.1176986436	0.0656233333	0.027468638	-0.0053484389	0.0981992575	0.0024223064	0.1128037442	0.0698319022	0.1381028512	0.1412747832	0.0417855318	0.0849942215	0.028783089	0.0688143444	0.1167892228	-0.0049265048	0.0417822569	0.1029564357	0.1351781498	0.0588195929	0.0272810753	-0.0372748393	0.0045374259	0.0103481401	0.0133062843	0.1280257178	0.1097336305	0.0766135651	0.0233911156	0.0823253975	-0.0391004553	0.0190680656	0.0671373091	0.0112442811	0.1236886469	-0.0218813679	0.0071334663	-0.0151140323	0.0115920726	0.0516339518	0.0249705509	0.0808333841	-0.0137095934	-0.0443144104	-0.0457381643	0.0037799651	0.0018809248	0.0471278539	0.057715379	0.0266071479	0.051892752	0.0343335727	0.0376481452	0.0815523998	-0.0549651537	0.0723882508
"Effector_memeory_CD8_T_cell"	0.3096831675	0.2236127598	0.1010658845	-0.0004354454	0.2092986228	-0.01501745	0.1882202441	0.1613817998	0.174329321	0.213215247	0.0107274793	0.0070107571	0.0875347636	0.0989787754	0.192940158	-0.0642236387	0.1077040018	0.2250896459	0.1934574196	0.0575184262	0.0709559841	0.0019952155	-0.1182134323	0.0174711941	0.0630225555	0.1650189714	0.2022059105	0.1828672342	0.1387028885	0.2496662438	0.0929372014	0.0782361907	0.1507096496	0.1478187443	0.2021676114	-0.0109458471	0.1392901999	-0.049610219	0.00304159	-0.0458348156	0.0294893598	0.236017495	-0.1032188538	-0.1119861622	0.0883291717	0.127028893	-0.0194682806	0.0334332282	0.0729247179	0.13402132	0.1427338143	0.2043003405	0.2168027267	0.0999776991	0.0128164675	0.0617509252
